date,AQI
2022-03-16,50.0
2022-03-17,47.0
2022-03-18,58.5
2022-03-19,50.5
2022-03-20,27.0
2022-03-21,48.5
2022-03-22,45.0
2022-03-23,49.0
2022-03-24,58.0
2022-03-25,56.5
2022-03-26,51.5
2022-03-27,37.0
2022-03-28,35.5
2022-03-29,38.5
2022-03-30,46.5
2022-03-31,45.0
2022-04-01,48.5
2022-04-02,52.5
2022-04-03,38.5
2022-04-04,59.0
2022-04-05,57.5
2022-04-06,66.0
2022-04-07,51.0
2022-04-08,50.5
2022-04-09,62.5
2022-04-10,43.5
2022-04-11,49.5
2022-04-12,39.0
2022-04-13,49.0
2022-04-14,49.5
2022-04-15,48.0
2022-04-16,28.0
2022-04-17,35.5
2022-04-18,48.5
2022-04-19,45.5
2022-04-20,34.0
2022-04-21,38.5
2022-04-22,35.0
2022-04-23,37.0
2022-04-24,32.5
2022-04-25,54.0
2022-04-26,64.5
2022-04-27,52.0
2022-04-28,51.0
2022-04-29,52.0
2022-04-30,55.5
2022-05-01,44.0
2022-05-02,50.0
2022-05-03,47.5
2022-05-04,53.5
2022-05-05,52.0
2022-05-06,56.5
2022-05-07,40.5
2022-05-08,34.0
2022-05-09,43.0
2022-05-10,44.0
2022-05-11,37.0
2022-05-12,43.0
2022-05-13,56.0
2022-05-14,52.5
2022-05-15,51.5
2022-05-16,48.0
2022-05-17,34.0
2022-05-18,49.5
2022-05-19,48.5
2022-05-20,32.5
2022-05-21,33.5
2022-05-22,38.0
2022-05-23,43.5
2022-05-24,51.5
2022-05-25,52.5
2022-05-26,49.5
2022-05-27,42.5
2022-05-28,32.5
2022-05-29,28.5
2022-05-30,39.0
2022-05-31,51.0
2022-06-01,57.5
2022-06-02,52.0
2022-06-03,48.5
2022-06-04,41.0
2022-06-05,28.5
2022-06-06,41.0
2022-06-07,42.0
2022-06-08,48.5
2022-06-09,45.0
2022-06-10,56.5
2022-06-11,43.5
2022-06-12,37.0
2022-06-13,32.0
2022-06-14,41.5
2022-06-15,52.0
2022-06-16,50.0
2022-06-17,46.5
2022-06-18,38.0
2022-06-19,36.0
2022-06-20,50.5
2022-06-21,55.5
2022-06-22,55.0
2022-06-23,53.5
2022-06-24,55.0
2022-06-25,49.5
2022-06-26,44.0
2022-06-27,59.5
2022-06-28,62.5
2022-06-29,48.5
2022-06-30,47.5
2022-07-01,50.5
